,file_name,width,height,id,category_id,is_crowd,area,xmin,ymin,w,h
5,train/0005.jpg,1024,1024,37,1,0,110969.7,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,38,5,0,3693.89,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,39,0,0,7761.0,3.7,448.5,778.2,242.0
6,train/0006.jpg,1024,1024,40,1,0,222913.17,425.3,681.9,216.4,179.8
7,train/0007.jpg,1024,1024,41,9,0,358485.73,92.4,601.7,139.2,53.1
7,train/0007.jpg,1024,1024,42,9,0,391485.88,92.4,601.7,139.2,53.1
8,train/0008.jpg,1024,1024,43,6,0,251634.04,622.4,686.5,72.8,94.2
8,train/0008.jpg,1024,1024,44,0,0,5884.18,622.4,686.5,72.8,94.2
8,train/0008.jpg,1024,1024,45,7,0,87462.75,622.4,686.5,72.8,94.2
8,train/0008.jpg,1024,1024,46,7,0,67004.52,622.4,686.5,72.8,94.2
8,train/0008.jpg,1024,1024,47,7,0,22753.44,622.4,686.5,72.8,94.2
8,train/0008.jpg,1024,1024,48,7,0,40690.68,622.4,686.5,72.8,94.2
8,train/0008.jpg,1024,1024,49,7,0,559347.65,622.4,686.5,72.8,94.2
9,train/0009.jpg,1024,1024,50,2,0,168024.78,267.9,165.2,631.6,513.0
10,train/0010.jpg,1024,1024,51,0,0,102452.04,462.2,369.4,233.9,254.6
11,train/0011.jpg,1024,1024,52,0,0,13126.08,773.3,3.0,188.4,428.4
12,train/0012.jpg,1024,1024,53,1,0,396229.4,567.5,462.2,165.2,89.4
12,train/0012.jpg,1024,1024,54,1,0,53411.04,567.5,462.2,165.2,89.4
12,train/0012.jpg,1024,1024,55,1,0,94348.24,567.5,462.2,165.2,89.4
13,train/0013.jpg,1024,1024,56,6,0,16522.19,859.4,411.7,164.2,200.9
13,train/0013.jpg,1024,1024,57,7,0,56487.12,859.4,411.7,164.2,200.9
13,train/0013.jpg,1024,1024,58,7,0,17687.12,859.4,411.7,164.2,200.9
13,train/0013.jpg,1024,1024,59,6,0,14725.8,859.4,411.7,164.2,200.9
13,train/0013.jpg,1024,1024,60,7,0,86417.16,859.4,411.7,164.2,200.9
13,train/0013.jpg,1024,1024,61,1,0,13110.51,859.4,411.7,164.2,200.9
13,train/0013.jpg,1024,1024,62,1,0,105259.7,859.4,411.7,164.2,200.9
13,train/0013.jpg,1024,1024,63,1,0,60018.75,859.4,411.7,164.2,200.9
13,train/0013.jpg,1024,1024,64,7,0,602870.0,859.4,411.7,164.2,200.9
13,train/0013.jpg,1024,1024,65,1,0,2338.92,859.4,411.7,164.2,200.9
13,train/0013.jpg,1024,1024,66,3,0,22196.76,859.4,411.7,164.2,200.9
13,train/0013.jpg,1024,1024,67,5,0,62352.12,859.4,411.7,164.2,200.9
13,train/0013.jpg,1024,1024,68,5,0,47748.0,859.4,411.7,164.2,200.9
13,train/0013.jpg,1024,1024,69,5,0,35448.7,859.4,411.7,164.2,200.9
13,train/0013.jpg,1024,1024,70,5,0,68433.5,859.4,411.7,164.2,200.9
13,train/0013.jpg,1024,1024,71,5,0,40667.06,859.4,411.7,164.2,200.9
14,train/0014.jpg,1024,1024,72,9,0,186197.9,362.0,349.7,130.0,251.9
14,train/0014.jpg,1024,1024,73,9,0,197977.44,362.0,349.7,130.0,251.9
14,train/0014.jpg,1024,1024,74,7,0,57957.5,362.0,349.7,130.0,251.9
14,train/0014.jpg,1024,1024,75,9,0,40297.99,362.0,349.7,130.0,251.9
14,train/0014.jpg,1024,1024,76,3,0,5270.52,362.0,349.7,130.0,251.9
15,train/0015.jpg,1024,1024,77,6,0,4887.96,392.5,348.4,212.0,255.7
15,train/0015.jpg,1024,1024,78,3,0,138850.34,392.5,348.4,212.0,255.7
15,train/0015.jpg,1024,1024,79,6,0,5897.64,392.5,348.4,212.0,255.7
16,train/0016.jpg,1024,1024,80,6,0,348151.91,482.2,491.4,277.7,208.5
17,train/0017.jpg,1024,1024,81,0,0,305691.87,868.2,521.7,101.2,44.7
18,train/0018.jpg,1024,1024,82,6,0,35072.1,0.0,148.3,317.0,130.0
18,train/0018.jpg,1024,1024,83,6,0,44261.98,0.0,148.3,317.0,130.0
18,train/0018.jpg,1024,1024,84,6,0,113387.5,0.0,148.3,317.0,130.0
18,train/0018.jpg,1024,1024,85,6,0,68328.14,0.0,148.3,317.0,130.0
18,train/0018.jpg,1024,1024,86,7,0,102801.65,0.0,148.3,317.0,130.0
18,train/0018.jpg,1024,1024,87,6,0,51485.06,0.0,148.3,317.0,130.0
18,train/0018.jpg,1024,1024,88,7,0,186956.7,0.0,148.3,317.0,130.0
18,train/0018.jpg,1024,1024,89,6,0,253722.28,0.0,148.3,317.0,130.0
18,train/0018.jpg,1024,1024,90,7,0,80656.14,0.0,148.3,317.0,130.0
18,train/0018.jpg,1024,1024,91,7,0,47459.16,0.0,148.3,317.0,130.0
18,train/0018.jpg,1024,1024,92,3,0,2771.2,0.0,148.3,317.0,130.0
19,train/0019.jpg,1024,1024,93,2,0,3545.24,320.0,233.7,182.9,66.5
19,train/0019.jpg,1024,1024,94,7,0,73664.64,320.0,233.7,182.9,66.5
19,train/0019.jpg,1024,1024,95,7,0,33360.96,320.0,233.7,182.9,66.5
19,train/0019.jpg,1024,1024,96,7,0,115807.72,320.0,233.7,182.9,66.5
19,train/0019.jpg,1024,1024,97,7,0,188033.6,320.0,233.7,182.9,66.5
19,train/0019.jpg,1024,1024,98,7,0,173482.56,320.0,233.7,182.9,66.5
19,train/0019.jpg,1024,1024,99,0,0,2472.92,320.0,233.7,182.9,66.5
19,train/0019.jpg,1024,1024,100,3,0,2171.6,320.0,233.7,182.9,66.5
19,train/0019.jpg,1024,1024,101,1,0,4783.62,320.0,233.7,182.9,66.5
19,train/0019.jpg,1024,1024,102,7,0,535229.24,320.0,233.7,182.9,66.5
20,train/0020.jpg,1024,1024,103,7,0,117079.82,297.7,212.6,166.9,61.5
21,train/0021.jpg,1024,1024,104,7,0,220027.64,329.8,203.2,42.7,17.5
21,train/0021.jpg,1024,1024,105,7,0,68546.24,329.8,203.2,42.7,17.5
21,train/0021.jpg,1024,1024,106,7,0,69169.8,329.8,203.2,42.7,17.5
21,train/0021.jpg,1024,1024,107,7,0,30169.76,329.8,203.2,42.7,17.5
21,train/0021.jpg,1024,1024,108,7,0,40717.0,329.8,203.2,42.7,17.5
21,train/0021.jpg,1024,1024,109,7,0,83030.25,329.8,203.2,42.7,17.5
21,train/0021.jpg,1024,1024,110,7,0,31273.2,329.8,203.2,42.7,17.5
21,train/0021.jpg,1024,1024,111,7,0,45219.9,329.8,203.2,42.7,17.5
21,train/0021.jpg,1024,1024,112,7,0,77888.58,329.8,203.2,42.7,17.5
21,train/0021.jpg,1024,1024,113,7,0,8881.83,329.8,203.2,42.7,17.5
22,train/0022.jpg,1024,1024,114,3,0,48510.0,979.0,173.0,44.7,86.3
22,train/0022.jpg,1024,1024,115,3,0,240330.24,979.0,173.0,44.7,86.3
23,train/0023.jpg,1024,1024,116,0,0,342823.66,894.3,425.4,129.4,97.0
24,train/0024.jpg,1024,1024,117,0,0,176296.5,803.6,282.4,82.6,99.3
25,train/0025.jpg,1024,1024,118,0,0,143371.8,489.7,158.0,441.6,163.6
26,train/0026.jpg,1024,1024,119,9,0,210595.0,837.8,263.6,134.1,132.1
26,train/0026.jpg,1024,1024,120,9,0,196047.9,837.8,263.6,134.1,132.1
27,train/0027.jpg,1024,1024,121,0,0,145376.1,799.8,392.4,163.6,165.8
27,train/0027.jpg,1024,1024,122,0,0,253580.16,799.8,392.4,163.6,165.8
27,train/0027.jpg,1024,1024,123,5,0,107428.64,799.8,392.4,163.6,165.8
28,train/0028.jpg,1024,1024,124,0,0,4255.09,631.9,237.2,208.9,354.0
28,train/0028.jpg,1024,1024,125,2,0,81884.11,631.9,237.2,208.9,354.0
28,train/0028.jpg,1024,1024,126,5,0,17509.94,631.9,237.2,208.9,354.0
28,train/0028.jpg,1024,1024,127,0,0,36600.08,631.9,237.2,208.9,354.0
29,train/0029.jpg,1024,1024,128,4,0,193631.76,948.5,0.0,75.2,105.9
29,train/0029.jpg,1024,1024,129,0,0,5178.8,948.5,0.0,75.2,105.9
29,train/0029.jpg,1024,1024,130,4,0,98600.08,948.5,0.0,75.2,105.9
29,train/0029.jpg,1024,1024,131,0,0,262287.69,948.5,0.0,75.2,105.9
29,train/0029.jpg,1024,1024,132,0,0,80547.72,948.5,0.0,75.2,105.9
30,train/0030.jpg,1024,1024,133,0,0,366753.8,55.5,0.0,961.4,239.0
31,train/0031.jpg,1024,1024,134,0,0,257499.2,68.1,66.5,125.3,38.3
31,train/0031.jpg,1024,1024,135,3,0,117241.94,68.1,66.5,125.3,38.3
31,train/0031.jpg,1024,1024,136,0,0,23266.88,68.1,66.5,125.3,38.3
32,train/0032.jpg,1024,1024,137,6,0,5875.76,181.2,70.3,173.4,96.5
32,train/0032.jpg,1024,1024,138,0,0,1044.2,181.2,70.3,173.4,96.5
32,train/0032.jpg,1024,1024,139,7,0,164631.08,181.2,70.3,173.4,96.5
32,train/0032.jpg,1024,1024,140,3,0,1884.68,181.2,70.3,173.4,96.5
32,train/0032.jpg,1024,1024,141,3,0,1175.76,181.2,70.3,173.4,96.5
32,train/0032.jpg,1024,1024,142,7,0,9606.84,181.2,70.3,173.4,96.5
32,train/0032.jpg,1024,1024,143,7,0,149484.9,181.2,70.3,173.4,96.5
32,train/0032.jpg,1024,1024,144,7,0,1756.86,181.2,70.3,173.4,96.5
32,train/0032.jpg,1024,1024,145,5,0,28801.0,181.2,70.3,173.4,96.5
32,train/0032.jpg,1024,1024,146,0,0,1296.3,181.2,70.3,173.4,96.5
32,train/0032.jpg,1024,1024,147,0,0,1050.42,181.2,70.3,173.4,96.5
32,train/0032.jpg,1024,1024,148,0,0,5383.08,181.2,70.3,173.4,96.5
32,train/0032.jpg,1024,1024,149,7,0,255760.02,181.2,70.3,173.4,96.5
32,train/0032.jpg,1024,1024,150,7,0,476226.96,181.2,70.3,173.4,96.5
33,train/0033.jpg,1024,1024,151,9,0,101176.92,0.0,129.3,333.9,430.2
33,train/0033.jpg,1024,1024,152,9,0,111109.44,0.0,129.3,333.9,430.2
34,train/0034.jpg,1024,1024,153,7,0,357343.98,60.6,271.2,605.1,467.8
35,train/0035.jpg,1024,1024,154,2,0,142263.69,104.6,278.6,543.5,317.0
36,train/0036.jpg,1024,1024,155,1,0,7804.8,98.5,612.3,69.8,44.4
36,train/0036.jpg,1024,1024,156,7,0,10972.19,98.5,612.3,69.8,44.4
36,train/0036.jpg,1024,1024,157,7,0,8251.47,98.5,612.3,69.8,44.4
37,train/0037.jpg,1024,1024,158,0,0,223585.92,495.7,627.6,345.7,321.0
38,train/0038.jpg,1024,1024,159,5,0,1972.0,925.5,97.3,52.1,70.9
38,train/0038.jpg,1024,1024,160,7,0,34184.52,925.5,97.3,52.1,70.9
38,train/0038.jpg,1024,1024,161,7,0,52635.59,925.5,97.3,52.1,70.9
38,train/0038.jpg,1024,1024,162,7,0,62924.64,925.5,97.3,52.1,70.9
38,train/0038.jpg,1024,1024,163,1,0,2025.38,925.5,97.3,52.1,70.9
38,train/0038.jpg,1024,1024,164,7,0,17232.18,925.5,97.3,52.1,70.9
38,train/0038.jpg,1024,1024,165,5,0,2457.51,925.5,97.3,52.1,70.9
38,train/0038.jpg,1024,1024,166,5,0,4613.62,925.5,97.3,52.1,70.9
38,train/0038.jpg,1024,1024,167,7,0,69199.56,925.5,97.3,52.1,70.9
38,train/0038.jpg,1024,1024,168,7,0,54658.8,925.5,97.3,52.1,70.9
38,train/0038.jpg,1024,1024,169,7,0,165085.5,925.5,97.3,52.1,70.9
38,train/0038.jpg,1024,1024,170,7,0,181644.98,925.5,97.3,52.1,70.9
38,train/0038.jpg,1024,1024,171,7,0,4271.4,925.5,97.3,52.1,70.9
38,train/0038.jpg,1024,1024,172,5,0,1590.45,925.5,97.3,52.1,70.9
39,train/0039.jpg,1024,1024,173,2,0,60703.45,471.4,422.3,130.0,59.7
40,train/0040.jpg,1024,1024,174,0,0,106768.83,351.7,269.9,398.7,559.1
41,train/0041.jpg,1024,1024,175,0,0,107125.1,109.0,104.7,751.7,476.9
41,train/0041.jpg,1024,1024,176,7,0,14079.16,109.0,104.7,751.7,476.9
41,train/0041.jpg,1024,1024,177,0,0,58985.2,109.0,104.7,751.7,476.9
41,train/0041.jpg,1024,1024,178,6,0,85566.52,109.0,104.7,751.7,476.9
42,train/0042.jpg,1024,1024,179,5,0,1090.4,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,180,2,0,1604.0,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,181,7,0,5191.0,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,182,0,0,789.37,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,183,7,0,72329.04,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,184,6,0,16796.15,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,185,5,0,3747.36,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,186,7,0,18546.32,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,187,7,0,13602.4,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,188,1,0,10079.52,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,189,7,0,33875.52,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,190,7,0,37001.76,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,191,7,0,27909.92,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,192,7,0,14915.96,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,193,7,0,51277.0,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,194,7,0,13646.82,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,195,7,0,76950.27,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,196,7,0,23372.68,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,197,7,0,79405.04,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,198,7,0,78859.94,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,199,7,0,54619.5,95.4,438.7,708.7,552.4
42,train/0042.jpg,1024,1024,200,0,0,1226.16,95.4,438.7,708.7,552.4
43,train/0043.jpg,1024,1024,201,0,0,286624.5,51.8,0.0,635.6,395.9
43,train/0043.jpg,1024,1024,202,7,0,24493.63,51.8,0.0,635.6,395.9
43,train/0043.jpg,1024,1024,203,0,0,133212.56,51.8,0.0,635.6,395.9
44,train/0044.jpg,1024,1024,204,2,0,117972.28,74.8,258.0,246.2,23.9
44,train/0044.jpg,1024,1024,205,3,0,29548.2,74.8,258.0,246.2,23.9
44,train/0044.jpg,1024,1024,206,7,0,73197.95,74.8,258.0,246.2,23.9
45,train/0045.jpg,1024,1024,207,0,0,4129.65,170.3,0.0,415.5,210.5
45,train/0045.jpg,1024,1024,208,1,0,24168.1,170.3,0.0,415.5,210.5
45,train/0045.jpg,1024,1024,209,1,0,15856.68,170.3,0.0,415.5,210.5
45,train/0045.jpg,1024,1024,210,1,0,105633.0,170.3,0.0,415.5,210.5
45,train/0045.jpg,1024,1024,211,1,0,87246.66,170.3,0.0,415.5,210.5
45,train/0045.jpg,1024,1024,212,1,0,63817.6,170.3,0.0,415.5,210.5
45,train/0045.jpg,1024,1024,213,1,0,119042.17,170.3,0.0,415.5,210.5
45,train/0045.jpg,1024,1024,214,1,0,15178.62,170.3,0.0,415.5,210.5
45,train/0045.jpg,1024,1024,215,5,0,9338.32,170.3,0.0,415.5,210.5
45,train/0045.jpg,1024,1024,216,1,0,39181.04,170.3,0.0,415.5,210.5
45,train/0045.jpg,1024,1024,217,1,0,5600.7,170.3,0.0,415.5,210.5
45,train/0045.jpg,1024,1024,218,1,0,2594.24,170.3,0.0,415.5,210.5
45,train/0045.jpg,1024,1024,219,5,0,6670.46,170.3,0.0,415.5,210.5
45,train/0045.jpg,1024,1024,220,7,0,38326.94,170.3,0.0,415.5,210.5
45,train/0045.jpg,1024,1024,221,1,0,110092.49,170.3,0.0,415.5,210.5
45,train/0045.jpg,1024,1024,222,1,0,168407.4,170.3,0.0,415.5,210.5
45,train/0045.jpg,1024,1024,223,6,0,59246.46,170.3,0.0,415.5,210.5
45,train/0045.jpg,1024,1024,224,6,0,60742.08,170.3,0.0,415.5,210.5
45,train/0045.jpg,1024,1024,225,0,0,1718.56,170.3,0.0,415.5,210.5
46,train/0046.jpg,1024,1024,226,7,0,315768.24,0.0,161.8,101.2,662.1
46,train/0046.jpg,1024,1024,227,0,0,165238.15,0.0,161.8,101.2,662.1
47,train/0047.jpg,1024,1024,228,0,0,86910.76,86.0,0.0,183.2,124.2
48,train/0048.jpg,1024,1024,229,0,0,185563.66,0.0,0.0,192.3,211.6
49,train/0049.jpg,1024,1024,230,0,0,118982.7,44.4,135.9,745.3,750.5
49,train/0049.jpg,1024,1024,231,0,0,51419.76,44.4,135.9,745.3,750.5
50,train/0050.jpg,1024,1024,232,5,0,240207.35,308.4,281.3,404.1,415.8
51,train/0051.jpg,1024,1024,233,7,0,127441.8,377.9,255.0,368.4,278.1
51,train/0051.jpg,1024,1024,234,6,0,147622.14,377.9,255.0,368.4,278.1
51,train/0051.jpg,1024,1024,235,6,0,160103.58,377.9,255.0,368.4,278.1
51,train/0051.jpg,1024,1024,236,1,0,101074.0,377.9,255.0,368.4,278.1
51,train/0051.jpg,1024,1024,237,0,0,7850.75,377.9,255.0,368.4,278.1
51,train/0051.jpg,1024,1024,238,0,0,3203.56,377.9,255.0,368.4,278.1
51,train/0051.jpg,1024,1024,239,1,0,60387.48,377.9,255.0,368.4,278.1
51,train/0051.jpg,1024,1024,240,1,0,2943.09,377.9,255.0,368.4,278.1
51,train/0051.jpg,1024,1024,241,1,0,868.56,377.9,255.0,368.4,278.1
51,train/0051.jpg,1024,1024,242,1,0,8864.1,377.9,255.0,368.4,278.1
51,train/0051.jpg,1024,1024,243,1,0,44730.75,377.9,255.0,368.4,278.1
51,train/0051.jpg,1024,1024,244,1,0,22764.0,377.9,255.0,368.4,278.1
51,train/0051.jpg,1024,1024,245,1,0,27258.0,377.9,255.0,368.4,278.1
52,train/0052.jpg,1024,1024,246,5,0,167008.14,446.6,445.2,96.8,135.6
53,train/0053.jpg,1024,1024,247,7,0,15238.2,146.0,441.9,775.4,511.0
53,train/0053.jpg,1024,1024,248,7,0,39892.71,146.0,441.9,775.4,511.0
53,train/0053.jpg,1024,1024,249,7,0,301057.44,146.0,441.9,775.4,511.0
53,train/0053.jpg,1024,1024,250,7,0,20994.84,146.0,441.9,775.4,511.0
54,train/0054.jpg,1024,1024,251,7,0,56945.68,274.8,540.1,383.7,139.2
54,train/0054.jpg,1024,1024,252,7,0,52849.26,274.8,540.1,383.7,139.2
54,train/0054.jpg,1024,1024,253,1,0,195307.2,274.8,540.1,383.7,139.2
54,train/0054.jpg,1024,1024,254,1,0,18443.11,274.8,540.1,383.7,139.2
54,train/0054.jpg,1024,1024,255,1,0,14937.0,274.8,540.1,383.7,139.2
54,train/0054.jpg,1024,1024,256,1,0,95297.0,274.8,540.1,383.7,139.2
54,train/0054.jpg,1024,1024,257,7,0,12654.51,274.8,540.1,383.7,139.2
54,train/0054.jpg,1024,1024,258,0,0,6345.0,274.8,540.1,383.7,139.2
55,train/0055.jpg,1024,1024,259,7,0,41200.68,276.3,334.6,356.3,264.8
55,train/0055.jpg,1024,1024,260,1,0,15555.6,276.3,334.6,356.3,264.8
55,train/0055.jpg,1024,1024,261,1,0,23632.32,276.3,334.6,356.3,264.8
55,train/0055.jpg,1024,1024,262,7,0,7706.51,276.3,334.6,356.3,264.8
55,train/0055.jpg,1024,1024,263,0,0,27124.4,276.3,334.6,356.3,264.8
55,train/0055.jpg,1024,1024,264,0,0,658.32,276.3,334.6,356.3,264.8
55,train/0055.jpg,1024,1024,265,0,0,246335.52,276.3,334.6,356.3,264.8
55,train/0055.jpg,1024,1024,266,0,0,267185.76,276.3,334.6,356.3,264.8
55,train/0055.jpg,1024,1024,267,0,0,76352.32,276.3,334.6,356.3,264.8
55,train/0055.jpg,1024,1024,268,0,0,64354.02,276.3,334.6,356.3,264.8
55,train/0055.jpg,1024,1024,269,0,0,22704.6,276.3,334.6,356.3,264.8
55,train/0055.jpg,1024,1024,270,0,0,41762.0,276.3,334.6,356.3,264.8
55,train/0055.jpg,1024,1024,271,0,0,123917.84,276.3,334.6,356.3,264.8
55,train/0055.jpg,1024,1024,272,0,0,39814.13,276.3,334.6,356.3,264.8
55,train/0055.jpg,1024,1024,273,0,0,304260.68,276.3,334.6,356.3,264.8
55,train/0055.jpg,1024,1024,274,0,0,96928.0,276.3,334.6,356.3,264.8
56,train/0056.jpg,1024,1024,275,0,0,271383.75,99.9,58.9,139.9,118.1
56,train/0056.jpg,1024,1024,276,1,0,68880.22,99.9,58.9,139.9,118.1
56,train/0056.jpg,1024,1024,277,5,0,8535.2,99.9,58.9,139.9,118.1
56,train/0056.jpg,1024,1024,278,0,0,1495.2,99.9,58.9,139.9,118.1
56,train/0056.jpg,1024,1024,279,5,0,8517.85,99.9,58.9,139.9,118.1
56,train/0056.jpg,1024,1024,280,2,0,58455.78,99.9,58.9,139.9,118.1
56,train/0056.jpg,1024,1024,281,5,0,46374.92,99.9,58.9,139.9,118.1
56,train/0056.jpg,1024,1024,282,1,0,17545.5,99.9,58.9,139.9,118.1
56,train/0056.jpg,1024,1024,283,1,0,51332.4,99.9,58.9,139.9,118.1
56,train/0056.jpg,1024,1024,284,5,0,10603.18,99.9,58.9,139.9,118.1
57,train/0057.jpg,1024,1024,285,1,0,142288.74,746.7,167.6,223.8,252.4
57,train/0057.jpg,1024,1024,286,0,0,311800.6,746.7,167.6,223.8,252.4
58,train/0058.jpg,1024,1024,287,0,0,343533.12,0.0,0.0,111.1,159.2
59,train/0059.jpg,1024,1024,288,3,0,139240.68,59.3,0.0,181.8,81.0
60,train/0060.jpg,1024,1024,289,5,0,82916.97,629.2,24.9,341.3,253.2
61,train/0061.jpg,1024,1024,290,3,0,251336.47,0.0,159.5,104.3,125.7
62,train/0062.jpg,1024,1024,291,7,0,164740.8,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,292,7,0,98912.58,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,293,1,0,154521.43,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,294,7,0,118532.56,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,295,1,0,202291.28,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,296,5,0,14162.4,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,297,1,0,31520.72,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,298,1,0,25488.36,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,299,5,0,18135.09,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,300,1,0,16438.1,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,301,1,0,9075.0,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,302,1,0,10641.2,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,303,1,0,3386.84,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,304,1,0,2261.49,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,305,1,0,2932.8,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,306,1,0,2578.8,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,307,1,0,6585.3,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,308,1,0,26857.88,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,309,1,0,94309.36,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,310,7,0,45722.88,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,311,5,0,2713.6,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,312,0,0,8261.1,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,313,0,0,2842.1,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,314,0,0,13715.1,0.0,473.4,301.0,349.7
62,train/0062.jpg,1024,1024,315,0,0,5709.06,0.0,473.4,301.0,349.7
