image_id,category_id,area,bbox,iscrowd,bbox_id,x_min,y_min,x_max,y_max,w,h
18,4,2771.2,"[737.2, 336.8, 43.3, 64.0]",0,92,737.2,336.8,780.5,400.8,43.3,64.0
19,3,3545.24,"[12.2, 508.2, 67.4, 52.6]",0,93,12.2,508.2,79.60000000000001,560.8,67.4,52.6
19,8,73664.64,"[580.1, 0.8, 352.8, 208.8]",0,94,580.1,0.8,932.9000000000001,209.60000000000002,352.8,208.8
19,8,33360.96,"[0.0, 0.0, 224.2, 148.8]",0,95,0.0,0.0,224.2,148.8,224.2,148.8
19,8,115807.72,"[164.2, 0.0, 540.4, 214.3]",0,96,164.2,0.0,704.5999999999999,214.3,540.4,214.3
19,8,188033.6,"[0.0, 95.5, 446.0, 421.6]",0,97,0.0,95.5,446.0,517.1,446.0,421.6
19,8,173482.56,"[0.0, 321.5, 465.6, 372.6]",0,98,0.0,321.5,465.6,694.1,465.6,372.6
19,1,2472.92,"[965.1, 385.0, 58.6, 42.2]",0,99,965.1,385.0,1023.7,427.2,58.6,42.2
19,4,2171.6,"[224.2, 346.7, 61.0, 35.6]",0,100,224.2,346.7,285.2,382.3,61.0,35.6
19,2,4783.62,"[262.1, 355.6, 130.7, 36.6]",0,101,262.1,355.6,392.8,392.20000000000005,130.7,36.6
19,8,535229.24,"[377.6, 104.6, 646.1, 828.4]",0,102,377.6,104.6,1023.7,933.0,646.1,828.4
20,8,117079.82,"[254.3, 276.6, 371.8, 314.9]",0,103,254.3,276.6,626.1,591.5,371.8,314.9
21,8,220027.64,"[547.8, 0.0, 458.2, 480.2]",0,104,547.8,0.0,1006.0,480.2,458.2,480.2
21,8,68546.24,"[256.8, 0.0, 301.7, 227.2]",0,105,256.8,0.0,558.5,227.2,301.7,227.2
21,8,69169.8,"[581.3, 194.7, 180.6, 383.0]",0,106,581.3,194.7,761.9,577.7,180.6,383.0
21,8,30169.76,"[439.6, 130.4, 154.4, 195.4]",0,107,439.6,130.4,594.0,325.8,154.4,195.4
21,8,40717.0,"[290.8, 158.1, 190.0, 214.3]",0,108,290.8,158.1,480.8,372.4,190.0,214.3
21,8,83030.25,"[290.3, 213.3, 223.5, 371.5]",0,109,290.3,213.3,513.8,584.8,223.5,371.5
21,8,31273.2,"[476.2, 266.2, 126.0, 248.2]",0,110,476.2,266.2,602.2,514.4,126.0,248.2
21,8,45219.9,"[492.4, 507.9, 193.0, 234.3]",0,111,492.4,507.9,685.4,742.2,193.0,234.3
21,8,77888.58,"[283.2, 497.4, 219.9, 354.2]",0,112,283.2,497.4,503.1,851.5999999999999,219.9,354.2
21,8,8881.83,"[295.4, 119.2, 74.7, 118.9]",0,113,295.4,119.2,370.09999999999997,238.10000000000002,74.7,118.9
22,4,48510.0,"[458.5, 7.4, 176.4, 275.0]",0,114,458.5,7.4,634.9,282.4,176.4,275.0
22,4,240330.24,"[59.3, 631.9, 820.8, 292.8]",0,115,59.3,631.9,880.0999999999999,924.7,820.8,292.8
23,1,342823.66,"[233.7, 341.0, 711.4, 481.9]",0,116,233.7,341.0,945.0999999999999,822.9,711.4,481.9
24,1,176296.5,"[381.3, 311.6, 405.0, 435.3]",0,117,381.3,311.6,786.3,746.9000000000001,405.0,435.3
25,1,143371.8,"[280.0, 276.6, 429.0, 334.2]",0,118,280.0,276.6,709.0,610.8,429.0,334.2
26,10,210595.0,"[153.4, 219.1, 273.5, 770.0]",0,119,153.4,219.1,426.9,989.1,273.5,770.0
26,10,196047.9,"[406.3, 284.1, 274.5, 714.2]",0,120,406.3,284.1,680.8,998.3000000000001,274.5,714.2
27,1,145376.1,"[816.8, 96.2, 207.0, 702.3]",0,121,816.8,96.2,1023.8,798.5,207.0,702.3
27,1,253580.16,"[272.3, 375.5, 731.2, 346.8]",0,122,272.3,375.5,1003.5,722.3,731.2,346.8
27,6,107428.64,"[331.2, 418.9, 272.8, 393.8]",0,123,331.2,418.9,604.0,812.7,272.8,393.8
28,1,4255.09,"[516.1, 631.2, 68.3, 62.3]",0,124,516.1,631.2,584.4,693.5,68.3,62.3
28,3,81884.11,"[483.0, 248.2, 212.3, 385.7]",0,125,483.0,248.2,695.3,633.9,212.3,385.7
28,6,17509.94,"[328.6, 244.1, 126.7, 138.2]",0,126,328.6,244.1,455.3,382.29999999999995,126.7,138.2
28,1,36600.08,"[175.7, 672.5, 437.8, 83.6]",0,127,175.7,672.5,613.5,756.1,437.8,83.6
29,5,193631.76,"[130.0, 586.8, 522.2, 370.8]",0,128,130.0,586.8,652.2,957.5999999999999,522.2,370.8
29,1,5178.8,"[399.6, 222.5, 48.4, 107.0]",0,129,399.6,222.5,448.0,329.5,48.4,107.0
29,5,98600.08,"[171.7, 309.8, 377.2, 261.4]",0,130,171.7,309.8,548.9,571.2,377.2,261.4
29,1,262287.69,"[0.0, 3.7, 553.7, 473.7]",0,131,0.0,3.7,553.7,477.4,553.7,473.7
29,1,80547.72,"[427.3, 6.4, 263.4, 305.8]",0,132,427.3,6.4,690.7,312.2,263.4,305.8
30,1,366753.8,"[125.0, 219.9, 760.9, 482.0]",0,133,125.0,219.9,885.9,701.9,760.9,482.0
31,1,257499.2,"[389.3, 0.0, 464.8, 554.0]",0,134,389.3,0.0,854.1,554.0,464.8,554.0
31,4,117241.94,"[359.6, 445.3, 358.1, 327.4]",0,135,359.6,445.3,717.7,772.7,358.1,327.4
31,1,23266.88,"[748.7, 159.5, 131.6, 176.8]",0,136,748.7,159.5,880.3000000000001,336.3,131.6,176.8
32,7,5875.76,"[762.6, 398.5, 48.4, 121.4]",0,137,762.6,398.5,811.0,519.9,48.4,121.4
32,1,1044.2,"[781.2, 471.4, 22.7, 46.0]",0,138,781.2,471.4,803.9000000000001,517.4,22.7,46.0
32,8,164631.08,"[332.9, 145.8, 638.6, 257.8]",0,139,332.9,145.8,971.5,403.6,638.6,257.8
32,4,1884.68,"[441.6, 186.9, 50.8, 37.1]",0,140,441.6,186.9,492.40000000000003,224.0,50.8,37.1
32,4,1175.76,"[95.8, 262.3, 55.2, 21.3]",0,141,95.8,262.3,151.0,283.6,55.2,21.3
32,8,9606.84,"[158.1, 470.6, 71.8, 133.8]",0,142,158.1,470.6,229.89999999999998,604.4000000000001,71.8,133.8
32,8,149484.9,"[149.7, 658.0, 650.5, 229.8]",0,143,149.7,658.0,800.2,887.8,650.5,229.8
32,8,1756.86,"[750.1, 735.0, 62.3, 28.2]",0,144,750.1,735.0,812.4,763.2,62.3,28.2
32,6,28801.0,"[753.4, 551.9, 138.8, 207.5]",0,145,753.4,551.9,892.2,759.4,138.8,207.5
32,1,1296.3,"[819.8, 640.8, 44.7, 29.0]",0,146,819.8,640.8,864.5,669.8,44.7,29.0
32,1,1050.42,"[838.1, 616.1, 42.7, 24.6]",0,147,838.1,616.1,880.8000000000001,640.7,42.7,24.6
32,1,5383.08,"[866.2, 594.0, 68.4, 78.7]",0,148,866.2,594.0,934.6,672.7,68.4,78.7
32,8,255760.02,"[207.2, 509.0, 681.3, 375.4]",0,149,207.2,509.0,888.5,884.4,681.3,375.4
32,8,476226.96,"[118.5, 220.7, 784.3, 607.2]",0,150,118.5,220.7,902.8,827.9000000000001,784.3,607.2
33,10,101176.92,"[301.0, 199.1, 202.8, 498.9]",0,151,301.0,199.1,503.8,698.0,202.8,498.9
33,10,111109.44,"[431.7, 212.2, 226.2, 491.2]",0,152,431.7,212.2,657.9,703.4,226.2,491.2
34,8,357343.98,"[214.0, 168.6, 583.8, 612.1]",0,153,214.0,168.6,797.8,780.7,583.8,612.1
35,3,142263.69,"[369.8, 399.7, 346.9, 410.1]",0,154,369.8,399.7,716.7,809.8,346.9,410.1
36,2,7804.8,"[135.1, 820.5, 96.0, 81.3]",0,155,135.1,820.5,231.1,901.8,96.0,81.3
36,8,10972.19,"[469.6, 804.2, 123.7, 88.7]",0,156,469.6,804.2,593.3000000000001,892.9000000000001,123.7,88.7
36,8,8251.47,"[816.0, 806.3, 150.3, 54.9]",0,157,816.0,806.3,966.3,861.1999999999999,150.3,54.9
37,1,223585.92,"[282.1, 313.7, 544.8, 410.4]",0,158,282.1,313.7,826.9,724.0999999999999,544.8,410.4
38,6,1972.0,"[146.3, 246.6, 40.0, 49.3]",0,159,146.3,246.6,186.3,295.9,40.0,49.3
38,8,34184.52,"[170.7, 158.7, 242.1, 141.2]",0,160,170.7,158.7,412.79999999999995,299.9,242.1,141.2
38,8,52635.59,"[352.8, 187.7, 272.3, 193.3]",0,161,352.8,187.7,625.1,381.0,272.3,193.3
38,8,62924.64,"[114.5, 259.0, 311.2, 202.2]",0,162,114.5,259.0,425.7,461.2,311.2,202.2
38,2,2025.38,"[423.6, 213.8, 51.8, 39.1]",0,163,423.6,213.8,475.40000000000003,252.9,51.8,39.1
38,8,17232.18,"[442.2, 150.1, 186.9, 92.2]",0,164,442.2,150.1,629.1,242.3,186.9,92.2
38,6,2457.51,"[340.7, 283.4, 67.7, 36.3]",0,165,340.7,283.4,408.4,319.7,67.7,36.3
38,6,4613.62,"[397.9, 179.8, 62.6, 73.7]",0,166,397.9,179.8,460.5,253.5,62.6,73.7
38,8,69199.56,"[138.8, 334.2, 273.3, 253.2]",0,167,138.8,334.2,412.1,587.4,273.3,253.2
38,8,54658.8,"[88.4, 440.4, 289.2, 189.0]",0,168,88.4,440.4,377.6,629.4,289.2,189.0
38,8,165085.5,"[386.0, 298.7, 392.5, 420.6]",0,169,386.0,298.7,778.5,719.3,392.5,420.6
38,8,181644.98,"[497.4, 532.8, 411.8, 441.1]",0,170,497.4,532.8,909.2,973.9,411.8,441.1
38,8,4271.4,"[534.7, 197.6, 94.5, 45.2]",0,171,534.7,197.6,629.2,242.8,94.5,45.2
38,6,1590.45,"[265.1, 269.7, 46.1, 34.5]",0,172,265.1,269.7,311.20000000000005,304.2,46.1,34.5
39,3,60703.45,"[258.9, 454.9, 312.1, 194.5]",0,173,258.9,454.9,571.0,649.4,312.1,194.5
40,1,106768.83,"[360.6, 334.2, 272.3, 392.1]",0,174,360.6,334.2,632.9000000000001,726.3,272.3,392.1
41,1,107125.1,"[464.3, 0.0, 559.4, 191.5]",0,175,464.3,0.0,1023.7,191.5,559.4,191.5
41,8,14079.16,"[489.3, 0.0, 104.6, 134.6]",0,176,489.3,0.0,593.9,134.6,104.6,134.6
41,1,58985.2,"[370.8, 462.5, 308.5, 191.2]",0,177,370.8,462.5,679.3,653.7,308.5,191.2
41,7,85566.52,"[0.0, 0.0, 306.8, 278.9]",0,178,0.0,0.0,306.8,278.9,306.8,278.9
42,6,1090.4,"[770.3, 421.9, 29.0, 37.6]",0,179,770.3,421.9,799.3,459.5,29.0,37.6
42,3,1604.0,"[913.8, 774.8, 40.1, 40.0]",0,180,913.8,774.8,953.9,814.8,40.1,40.0
42,8,5191.0,"[740.6, 451.7, 71.6, 72.5]",0,181,740.6,451.7,812.2,524.2,71.6,72.5
42,1,789.37,"[750.7, 479.8, 40.9, 19.3]",0,182,750.7,479.8,791.6,499.1,40.9,19.3
42,8,72329.04,"[705.0, 490.7, 266.7, 271.2]",0,183,705.0,490.7,971.7,761.9,266.7,271.2
42,7,16796.15,"[580.8, 410.1, 129.5, 129.7]",0,184,580.8,410.1,710.3,539.8,129.5,129.7
42,6,3747.36,"[32.8, 629.5, 59.2, 63.3]",0,185,32.8,629.5,92.0,692.8,59.2,63.3
42,8,18546.32,"[331.7, 285.8, 104.9, 176.8]",0,186,331.7,285.8,436.6,462.6,104.9,176.8
42,8,13602.4,"[509.2, 305.8, 98.0, 138.8]",0,187,509.2,305.8,607.2,444.6,98.0,138.8
42,2,10079.52,"[328.6, 878.4, 99.6, 101.2]",0,188,328.6,878.4,428.20000000000005,979.6,99.6,101.2
42,8,33875.52,"[401.5, 311.2, 149.1, 227.2]",0,189,401.5,311.2,550.6,538.4,149.1,227.2
42,8,37001.76,"[407.4, 427.7, 188.4, 196.4]",0,190,407.4,427.7,595.8,624.1,188.4,196.4
42,8,27909.92,"[72.1, 464.9, 105.4, 264.8]",0,191,72.1,464.9,177.5,729.7,105.4,264.8
42,8,14915.96,"[496.5, 576.7, 104.6, 142.6]",0,192,496.5,576.7,601.1,719.3000000000001,104.6,142.6
42,8,51277.0,"[114.8, 278.3, 218.2, 235.0]",0,193,114.8,278.3,333.0,513.3,218.2,235.0
42,8,13646.82,"[160.0, 641.0, 102.3, 133.4]",0,194,160.0,641.0,262.3,774.4,102.3,133.4
42,8,76950.27,"[132.6, 421.9, 278.1, 276.7]",0,195,132.6,421.9,410.70000000000005,698.5999999999999,278.1,276.7
42,8,23372.68,"[227.3, 603.1, 88.6, 263.8]",0,196,227.3,603.1,315.9,866.9000000000001,88.6,263.8
42,8,79405.04,"[311.6, 575.3, 252.4, 314.6]",0,197,311.6,575.3,564.0,889.9,252.4,314.6
42,8,78859.94,"[482.8, 571.6, 232.9, 338.6]",0,198,482.8,571.6,715.7,910.2,232.9,338.6
42,8,54619.5,"[679.9, 724.0, 280.1, 195.0]",0,199,679.9,724.0,960.0,919.0,280.1,195.0
42,1,1226.16,"[397.0, 541.1, 31.2, 39.3]",0,200,397.0,541.1,428.2,580.4,31.2,39.3
43,1,286624.5,"[114.8, 311.5, 644.1, 445.0]",0,201,114.8,311.5,758.9,756.5,644.1,445.0
43,8,24493.63,"[842.4, 0.0, 181.3, 135.1]",0,202,842.4,0.0,1023.7,135.1,181.3,135.1
43,1,133212.56,"[250.7, 0.0, 613.6, 217.1]",0,203,250.7,0.0,864.3,217.1,613.6,217.1
44,3,117972.28,"[416.5, 458.4, 403.6, 292.3]",0,204,416.5,458.4,820.1,750.7,403.6,292.3
44,4,29548.2,"[355.6, 762.2, 181.5, 162.8]",0,205,355.6,762.2,537.1,925.0,181.5,162.8
44,8,73197.95,"[14.2, 597.8, 198.1, 369.5]",0,206,14.2,597.8,212.29999999999998,967.3,198.1,369.5
45,1,4129.65,"[16.9, 674.0, 94.5, 43.7]",0,207,16.9,674.0,111.4,717.7,94.5,43.7
45,2,24168.1,"[139.9, 500.8, 173.0, 139.7]",0,208,139.9,500.8,312.9,640.5,173.0,139.7
45,2,15856.68,"[388.7, 379.9, 131.7, 120.4]",0,209,388.7,379.9,520.4,500.29999999999995,131.7,120.4
45,2,105633.0,"[603.8, 463.7, 363.0, 291.0]",0,210,603.8,463.7,966.8,754.7,363.0,291.0
45,2,87246.66,"[296.0, 469.6, 312.6, 279.1]",0,211,296.0,469.6,608.6,748.7,312.6,279.1
45,2,63817.6,"[302.7, 569.4, 296.0, 215.6]",0,212,302.7,569.4,598.7,785.0,296.0,215.6
45,2,119042.17,"[125.6, 605.5, 337.9, 352.3]",0,213,125.6,605.5,463.5,957.8,337.9,352.3
45,2,15178.62,"[207.6, 745.1, 129.4, 117.3]",0,214,207.6,745.1,337.0,862.4,129.4,117.3
45,6,9338.32,"[194.0, 749.0, 103.3, 90.4]",0,215,194.0,749.0,297.3,839.4,103.3,90.4
45,2,39181.04,"[608.2, 503.6, 283.1, 138.4]",0,216,608.2,503.6,891.3000000000001,642.0,283.1,138.4
45,2,5600.7,"[730.8, 587.7, 177.8, 31.5]",0,217,730.8,587.7,908.5999999999999,619.2,177.8,31.5
45,2,2594.24,"[677.6, 587.9, 35.2, 73.7]",0,218,677.6,587.9,712.8000000000001,661.6,35.2,73.7
45,6,6670.46,"[666.1, 522.2, 85.3, 78.2]",0,219,666.1,522.2,751.4,600.4000000000001,85.3,78.2
45,8,38326.94,"[385.4, 38.6, 303.7, 126.2]",0,220,385.4,38.6,689.0999999999999,164.8,303.7,126.2
45,2,110092.49,"[202.8, 113.0, 376.9, 292.1]",0,221,202.8,113.0,579.7,405.1,376.9,292.1
45,2,168407.4,"[510.0, 166.9, 476.4, 353.5]",0,222,510.0,166.9,986.4,520.4,476.4,353.5
45,7,59246.46,"[549.6, 136.9, 361.7, 163.8]",0,223,549.6,136.9,911.3,300.70000000000005,361.7,163.8
45,7,60742.08,"[560.4, 171.4, 386.4, 157.2]",0,224,560.4,171.4,946.8,328.6,386.4,157.2
45,1,1718.56,"[182.2, 738.8, 46.7, 36.8]",0,225,182.2,738.8,228.89999999999998,775.5999999999999,46.7,36.8
46,8,315768.24,"[325.8, 180.1, 511.2, 617.7]",0,226,325.8,180.1,837.0,797.8000000000001,511.2,617.7
46,1,165238.15,"[159.5, 0.0, 282.7, 584.5]",0,227,159.5,0.0,442.2,584.5,282.7,584.5
47,1,86910.76,"[411.1, 343.1, 230.9, 376.4]",0,228,411.1,343.1,642.0,719.5,230.9,376.4
48,1,185563.66,"[209.9, 308.6, 422.6, 439.1]",0,229,209.9,308.6,632.5,747.7,422.6,439.1
