image_id,file_name,width,height,id,category_id,is_crowd,area,xmin,ymin,w,h
5,train/0005.jpg,1024,1024,37,1,0,110969.7,495.7,627.6,345.7,321.0
5,train/0005.jpg,1024,1024,38,5,0,3693.89,925.5,97.3,52.1,70.9
5,train/0005.jpg,1024,1024,39,0,0,7761.0,471.4,422.3,130.0,59.7
6,train/0006.jpg,1024,1024,40,1,0,222913.17,351.7,269.9,398.7,559.1
7,train/0007.jpg,1024,1024,41,9,0,358485.73,109.0,104.7,751.7,476.9
7,train/0007.jpg,1024,1024,42,9,0,391485.88,95.4,438.7,708.7,552.4
8,train/0008.jpg,1024,1024,43,6,0,251634.04,51.8,0.0,635.6,395.9
8,train/0008.jpg,1024,1024,44,0,0,5884.18,74.8,258.0,246.2,23.9
8,train/0008.jpg,1024,1024,45,7,0,87462.75,170.3,0.0,415.5,210.5
8,train/0008.jpg,1024,1024,46,7,0,67004.52,0.0,161.8,101.2,662.1
8,train/0008.jpg,1024,1024,47,7,0,22753.44,86.0,0.0,183.2,124.2
8,train/0008.jpg,1024,1024,48,7,0,40690.68,0.0,0.0,192.3,211.6
8,train/0008.jpg,1024,1024,49,7,0,559347.65,44.4,135.9,745.3,750.5
9,train/0009.jpg,1024,1024,50,2,0,168024.78,308.4,281.3,404.1,415.8
10,train/0010.jpg,1024,1024,51,0,0,102452.04,377.9,255.0,368.4,278.1
11,train/0011.jpg,1024,1024,52,0,0,13126.08,446.6,445.2,96.8,135.6
12,train/0012.jpg,1024,1024,53,1,0,396229.4,146.0,441.9,775.4,511.0
12,train/0012.jpg,1024,1024,54,1,0,53411.04,274.8,540.1,383.7,139.2
12,train/0012.jpg,1024,1024,55,1,0,94348.24,276.3,334.6,356.3,264.8
13,train/0013.jpg,1024,1024,56,6,0,16522.19,99.9,58.9,139.9,118.1
13,train/0013.jpg,1024,1024,57,7,0,56487.12,746.7,167.6,223.8,252.4
13,train/0013.jpg,1024,1024,58,7,0,17687.12,0.0,0.0,111.1,159.2
13,train/0013.jpg,1024,1024,59,6,0,14725.8,59.3,0.0,181.8,81.0
13,train/0013.jpg,1024,1024,60,7,0,86417.16,629.2,24.9,341.3,253.2
13,train/0013.jpg,1024,1024,61,1,0,13110.51,0.0,159.5,104.3,125.7
13,train/0013.jpg,1024,1024,62,1,0,105259.7,0.0,473.4,301.0,349.7
13,train/0013.jpg,1024,1024,63,1,0,60018.75,0.0,266.9,247.5,242.5
13,train/0013.jpg,1024,1024,64,7,0,602870.0,72.5,112.0,835.0,722.0
13,train/0013.jpg,1024,1024,65,1,0,2338.92,485.2,173.2,65.7,35.6
13,train/0013.jpg,1024,1024,66,3,0,22196.76,325.1,457.7,169.7,130.8
13,train/0013.jpg,1024,1024,67,5,0,62352.12,484.6,145.8,226.9,274.8
13,train/0013.jpg,1024,1024,68,5,0,47748.0,572.6,538.9,276.0,173.0
13,train/0013.jpg,1024,1024,69,5,0,35448.7,136.1,355.0,311.5,113.8
13,train/0013.jpg,1024,1024,70,5,0,68433.5,459.2,335.2,329.8,207.5
13,train/0013.jpg,1024,1024,71,5,0,40667.06,611.2,450.0,244.1,166.6
14,train/0014.jpg,1024,1024,72,9,0,186197.9,586.4,194.4,288.5,645.4
14,train/0014.jpg,1024,1024,73,9,0,197977.44,158.5,260.7,332.4,595.6
14,train/0014.jpg,1024,1024,74,7,0,57957.5,118.9,0.0,239.0,242.5
14,train/0014.jpg,1024,1024,75,9,0,40297.99,175.7,97.9,171.7,234.7
14,train/0014.jpg,1024,1024,76,3,0,5270.52,909.2,929.9,66.8,78.9
15,train/0015.jpg,1024,1024,77,6,0,4887.96,844.2,499.5,48.3,101.2
15,train/0015.jpg,1024,1024,78,3,0,138850.34,423.9,390.4,424.1,327.4
15,train/0015.jpg,1024,1024,79,6,0,5897.64,885.6,577.0,71.4,82.6
16,train/0016.jpg,1024,1024,80,6,0,348151.91,306.8,178.8,569.9,610.9
17,train/0017.jpg,1024,1024,81,0,0,305691.87,238.5,273.7,502.7,608.1
18,train/0018.jpg,1024,1024,82,6,0,35072.1,321.7,504.4,556.7,63.0
18,train/0018.jpg,1024,1024,83,6,0,44261.98,341.7,471.1,541.1,81.8
18,train/0018.jpg,1024,1024,84,6,0,113387.5,320.0,348.4,587.5,193.0
18,train/0018.jpg,1024,1024,85,6,0,68328.14,368.8,231.6,422.3,161.8
18,train/0018.jpg,1024,1024,86,7,0,102801.65,309.5,474.7,350.5,293.3
18,train/0018.jpg,1024,1024,87,6,0,51485.06,370.5,166.6,429.4,119.9
18,train/0018.jpg,1024,1024,88,7,0,186956.7,0.0,511.0,490.7,381.0
18,train/0018.jpg,1024,1024,89,6,0,253722.28,440.6,529.5,513.4,494.2
18,train/0018.jpg,1024,1024,90,7,0,80656.14,361.7,257.0,305.4,264.1
18,train/0018.jpg,1024,1024,91,7,0,47459.16,447.0,65.8,305.4,155.4
18,train/0018.jpg,1024,1024,92,3,0,2771.2,737.2,336.8,43.3,64.0
19,train/0019.jpg,1024,1024,93,2,0,3545.24,12.2,508.2,67.4,52.6
19,train/0019.jpg,1024,1024,94,7,0,73664.64,580.1,0.8,352.8,208.8
19,train/0019.jpg,1024,1024,95,7,0,33360.96,0.0,0.0,224.2,148.8
19,train/0019.jpg,1024,1024,96,7,0,115807.72,164.2,0.0,540.4,214.3
19,train/0019.jpg,1024,1024,97,7,0,188033.6,0.0,95.5,446.0,421.6
19,train/0019.jpg,1024,1024,98,7,0,173482.56,0.0,321.5,465.6,372.6
19,train/0019.jpg,1024,1024,99,0,0,2472.92,965.1,385.0,58.6,42.2
19,train/0019.jpg,1024,1024,100,3,0,2171.6,224.2,346.7,61.0,35.6
19,train/0019.jpg,1024,1024,101,1,0,4783.62,262.1,355.6,130.7,36.6
19,train/0019.jpg,1024,1024,102,7,0,535229.24,377.6,104.6,646.1,828.4
20,train/0020.jpg,1024,1024,103,7,0,117079.82,254.3,276.6,371.8,314.9
21,train/0021.jpg,1024,1024,104,7,0,220027.64,547.8,0.0,458.2,480.2
21,train/0021.jpg,1024,1024,105,7,0,68546.24,256.8,0.0,301.7,227.2
21,train/0021.jpg,1024,1024,106,7,0,69169.8,581.3,194.7,180.6,383.0
21,train/0021.jpg,1024,1024,107,7,0,30169.76,439.6,130.4,154.4,195.4
21,train/0021.jpg,1024,1024,108,7,0,40717.0,290.8,158.1,190.0,214.3
21,train/0021.jpg,1024,1024,109,7,0,83030.25,290.3,213.3,223.5,371.5
21,train/0021.jpg,1024,1024,110,7,0,31273.2,476.2,266.2,126.0,248.2
21,train/0021.jpg,1024,1024,111,7,0,45219.9,492.4,507.9,193.0,234.3
21,train/0021.jpg,1024,1024,112,7,0,77888.58,283.2,497.4,219.9,354.2
21,train/0021.jpg,1024,1024,113,7,0,8881.83,295.4,119.2,74.7,118.9
22,train/0022.jpg,1024,1024,114,3,0,48510.0,458.5,7.4,176.4,275.0
22,train/0022.jpg,1024,1024,115,3,0,240330.24,59.3,631.9,820.8,292.8
23,train/0023.jpg,1024,1024,116,0,0,342823.66,233.7,341.0,711.4,481.9
24,train/0024.jpg,1024,1024,117,0,0,176296.5,381.3,311.6,405.0,435.3
25,train/0025.jpg,1024,1024,118,0,0,143371.8,280.0,276.6,429.0,334.2
26,train/0026.jpg,1024,1024,119,9,0,210595.0,153.4,219.1,273.5,770.0
26,train/0026.jpg,1024,1024,120,9,0,196047.9,406.3,284.1,274.5,714.2
27,train/0027.jpg,1024,1024,121,0,0,145376.1,816.8,96.2,207.0,702.3
27,train/0027.jpg,1024,1024,122,0,0,253580.16,272.3,375.5,731.2,346.8
27,train/0027.jpg,1024,1024,123,5,0,107428.64,331.2,418.9,272.8,393.8
28,train/0028.jpg,1024,1024,124,0,0,4255.09,516.1,631.2,68.3,62.3
28,train/0028.jpg,1024,1024,125,2,0,81884.11,483.0,248.2,212.3,385.7
28,train/0028.jpg,1024,1024,126,5,0,17509.94,328.6,244.1,126.7,138.2
28,train/0028.jpg,1024,1024,127,0,0,36600.08,175.7,672.5,437.8,83.6
29,train/0029.jpg,1024,1024,128,4,0,193631.76,130.0,586.8,522.2,370.8
29,train/0029.jpg,1024,1024,129,0,0,5178.8,399.6,222.5,48.4,107.0
29,train/0029.jpg,1024,1024,130,4,0,98600.08,171.7,309.8,377.2,261.4
29,train/0029.jpg,1024,1024,131,0,0,262287.69,0.0,3.7,553.7,473.7
29,train/0029.jpg,1024,1024,132,0,0,80547.72,427.3,6.4,263.4,305.8
30,train/0030.jpg,1024,1024,133,0,0,366753.8,125.0,219.9,760.9,482.0
31,train/0031.jpg,1024,1024,134,0,0,257499.2,389.3,0.0,464.8,554.0
31,train/0031.jpg,1024,1024,135,3,0,117241.94,359.6,445.3,358.1,327.4
31,train/0031.jpg,1024,1024,136,0,0,23266.88,748.7,159.5,131.6,176.8
32,train/0032.jpg,1024,1024,137,6,0,5875.76,762.6,398.5,48.4,121.4
32,train/0032.jpg,1024,1024,138,0,0,1044.2,781.2,471.4,22.7,46.0
32,train/0032.jpg,1024,1024,139,7,0,164631.08,332.9,145.8,638.6,257.8
32,train/0032.jpg,1024,1024,140,3,0,1884.68,441.6,186.9,50.8,37.1
32,train/0032.jpg,1024,1024,141,3,0,1175.76,95.8,262.3,55.2,21.3
32,train/0032.jpg,1024,1024,142,7,0,9606.84,158.1,470.6,71.8,133.8
32,train/0032.jpg,1024,1024,143,7,0,149484.9,149.7,658.0,650.5,229.8
32,train/0032.jpg,1024,1024,144,7,0,1756.86,750.1,735.0,62.3,28.2
32,train/0032.jpg,1024,1024,145,5,0,28801.0,753.4,551.9,138.8,207.5
32,train/0032.jpg,1024,1024,146,0,0,1296.3,819.8,640.8,44.7,29.0
32,train/0032.jpg,1024,1024,147,0,0,1050.42,838.1,616.1,42.7,24.6
32,train/0032.jpg,1024,1024,148,0,0,5383.08,866.2,594.0,68.4,78.7
32,train/0032.jpg,1024,1024,149,7,0,255760.02,207.2,509.0,681.3,375.4
32,train/0032.jpg,1024,1024,150,7,0,476226.96,118.5,220.7,784.3,607.2
33,train/0033.jpg,1024,1024,151,9,0,101176.92,301.0,199.1,202.8,498.9
33,train/0033.jpg,1024,1024,152,9,0,111109.44,431.7,212.2,226.2,491.2
34,train/0034.jpg,1024,1024,153,7,0,357343.98,214.0,168.6,583.8,612.1
35,train/0035.jpg,1024,1024,154,2,0,142263.69,369.8,399.7,346.9,410.1
36,train/0036.jpg,1024,1024,155,1,0,7804.8,135.1,820.5,96.0,81.3
36,train/0036.jpg,1024,1024,156,7,0,10972.19,469.6,804.2,123.7,88.7
36,train/0036.jpg,1024,1024,157,7,0,8251.47,816.0,806.3,150.3,54.9
37,train/0037.jpg,1024,1024,158,0,0,223585.92,282.1,313.7,544.8,410.4
38,train/0038.jpg,1024,1024,159,5,0,1972.0,146.3,246.6,40.0,49.3
38,train/0038.jpg,1024,1024,160,7,0,34184.52,170.7,158.7,242.1,141.2
38,train/0038.jpg,1024,1024,161,7,0,52635.59,352.8,187.7,272.3,193.3
38,train/0038.jpg,1024,1024,162,7,0,62924.64,114.5,259.0,311.2,202.2
38,train/0038.jpg,1024,1024,163,1,0,2025.38,423.6,213.8,51.8,39.1
38,train/0038.jpg,1024,1024,164,7,0,17232.18,442.2,150.1,186.9,92.2
38,train/0038.jpg,1024,1024,165,5,0,2457.51,340.7,283.4,67.7,36.3
38,train/0038.jpg,1024,1024,166,5,0,4613.62,397.9,179.8,62.6,73.7
38,train/0038.jpg,1024,1024,167,7,0,69199.56,138.8,334.2,273.3,253.2
38,train/0038.jpg,1024,1024,168,7,0,54658.8,88.4,440.4,289.2,189.0
38,train/0038.jpg,1024,1024,169,7,0,165085.5,386.0,298.7,392.5,420.6
38,train/0038.jpg,1024,1024,170,7,0,181644.98,497.4,532.8,411.8,441.1
38,train/0038.jpg,1024,1024,171,7,0,4271.4,534.7,197.6,94.5,45.2
38,train/0038.jpg,1024,1024,172,5,0,1590.45,265.1,269.7,46.1,34.5
39,train/0039.jpg,1024,1024,173,2,0,60703.45,258.9,454.9,312.1,194.5
40,train/0040.jpg,1024,1024,174,0,0,106768.83,360.6,334.2,272.3,392.1
41,train/0041.jpg,1024,1024,175,0,0,107125.1,464.3,0.0,559.4,191.5
41,train/0041.jpg,1024,1024,176,7,0,14079.16,489.3,0.0,104.6,134.6
41,train/0041.jpg,1024,1024,177,0,0,58985.2,370.8,462.5,308.5,191.2
41,train/0041.jpg,1024,1024,178,6,0,85566.52,0.0,0.0,306.8,278.9
42,train/0042.jpg,1024,1024,179,5,0,1090.4,770.3,421.9,29.0,37.6
42,train/0042.jpg,1024,1024,180,2,0,1604.0,913.8,774.8,40.1,40.0
42,train/0042.jpg,1024,1024,181,7,0,5191.0,740.6,451.7,71.6,72.5
42,train/0042.jpg,1024,1024,182,0,0,789.37,750.7,479.8,40.9,19.3
42,train/0042.jpg,1024,1024,183,7,0,72329.04,705.0,490.7,266.7,271.2
42,train/0042.jpg,1024,1024,184,6,0,16796.15,580.8,410.1,129.5,129.7
42,train/0042.jpg,1024,1024,185,5,0,3747.36,32.8,629.5,59.2,63.3
42,train/0042.jpg,1024,1024,186,7,0,18546.32,331.7,285.8,104.9,176.8
42,train/0042.jpg,1024,1024,187,7,0,13602.4,509.2,305.8,98.0,138.8
42,train/0042.jpg,1024,1024,188,1,0,10079.52,328.6,878.4,99.6,101.2
42,train/0042.jpg,1024,1024,189,7,0,33875.52,401.5,311.2,149.1,227.2
42,train/0042.jpg,1024,1024,190,7,0,37001.76,407.4,427.7,188.4,196.4
42,train/0042.jpg,1024,1024,191,7,0,27909.92,72.1,464.9,105.4,264.8
42,train/0042.jpg,1024,1024,192,7,0,14915.96,496.5,576.7,104.6,142.6
42,train/0042.jpg,1024,1024,193,7,0,51277.0,114.8,278.3,218.2,235.0
42,train/0042.jpg,1024,1024,194,7,0,13646.82,160.0,641.0,102.3,133.4
42,train/0042.jpg,1024,1024,195,7,0,76950.27,132.6,421.9,278.1,276.7
42,train/0042.jpg,1024,1024,196,7,0,23372.68,227.3,603.1,88.6,263.8
42,train/0042.jpg,1024,1024,197,7,0,79405.04,311.6,575.3,252.4,314.6
42,train/0042.jpg,1024,1024,198,7,0,78859.94,482.8,571.6,232.9,338.6
42,train/0042.jpg,1024,1024,199,7,0,54619.5,679.9,724.0,280.1,195.0
42,train/0042.jpg,1024,1024,200,0,0,1226.16,397.0,541.1,31.2,39.3
43,train/0043.jpg,1024,1024,201,0,0,286624.5,114.8,311.5,644.1,445.0
43,train/0043.jpg,1024,1024,202,7,0,24493.63,842.4,0.0,181.3,135.1
43,train/0043.jpg,1024,1024,203,0,0,133212.56,250.7,0.0,613.6,217.1
44,train/0044.jpg,1024,1024,204,2,0,117972.28,416.5,458.4,403.6,292.3
44,train/0044.jpg,1024,1024,205,3,0,29548.2,355.6,762.2,181.5,162.8
44,train/0044.jpg,1024,1024,206,7,0,73197.95,14.2,597.8,198.1,369.5
45,train/0045.jpg,1024,1024,207,0,0,4129.65,16.9,674.0,94.5,43.7
45,train/0045.jpg,1024,1024,208,1,0,24168.1,139.9,500.8,173.0,139.7
45,train/0045.jpg,1024,1024,209,1,0,15856.68,388.7,379.9,131.7,120.4
45,train/0045.jpg,1024,1024,210,1,0,105633.0,603.8,463.7,363.0,291.0
45,train/0045.jpg,1024,1024,211,1,0,87246.66,296.0,469.6,312.6,279.1
45,train/0045.jpg,1024,1024,212,1,0,63817.6,302.7,569.4,296.0,215.6
45,train/0045.jpg,1024,1024,213,1,0,119042.17,125.6,605.5,337.9,352.3
45,train/0045.jpg,1024,1024,214,1,0,15178.62,207.6,745.1,129.4,117.3
45,train/0045.jpg,1024,1024,215,5,0,9338.32,194.0,749.0,103.3,90.4
45,train/0045.jpg,1024,1024,216,1,0,39181.04,608.2,503.6,283.1,138.4
45,train/0045.jpg,1024,1024,217,1,0,5600.7,730.8,587.7,177.8,31.5
45,train/0045.jpg,1024,1024,218,1,0,2594.24,677.6,587.9,35.2,73.7
45,train/0045.jpg,1024,1024,219,5,0,6670.46,666.1,522.2,85.3,78.2
45,train/0045.jpg,1024,1024,220,7,0,38326.94,385.4,38.6,303.7,126.2
45,train/0045.jpg,1024,1024,221,1,0,110092.49,202.8,113.0,376.9,292.1
45,train/0045.jpg,1024,1024,222,1,0,168407.4,510.0,166.9,476.4,353.5
45,train/0045.jpg,1024,1024,223,6,0,59246.46,549.6,136.9,361.7,163.8
45,train/0045.jpg,1024,1024,224,6,0,60742.08,560.4,171.4,386.4,157.2
45,train/0045.jpg,1024,1024,225,0,0,1718.56,182.2,738.8,46.7,36.8
46,train/0046.jpg,1024,1024,226,7,0,315768.24,325.8,180.1,511.2,617.7
46,train/0046.jpg,1024,1024,227,0,0,165238.15,159.5,0.0,282.7,584.5
47,train/0047.jpg,1024,1024,228,0,0,86910.76,411.1,343.1,230.9,376.4
48,train/0048.jpg,1024,1024,229,0,0,185563.66,209.9,308.6,422.6,439.1
49,train/0049.jpg,1024,1024,230,0,0,118982.7,547.2,285.7,328.5,362.2
49,train/0049.jpg,1024,1024,231,0,0,51419.76,95.5,597.3,289.2,177.8
50,train/0050.jpg,1024,1024,232,5,0,240207.35,262.1,267.7,375.5,639.7
51,train/0051.jpg,1024,1024,233,7,0,127441.8,414.7,592.3,303.0,420.6
51,train/0051.jpg,1024,1024,234,6,0,147622.14,565.1,453.4,340.3,433.8
51,train/0051.jpg,1024,1024,235,6,0,160103.58,641.5,456.5,382.2,418.9
51,train/0051.jpg,1024,1024,236,1,0,101074.0,37.1,294.9,416.8,242.5
51,train/0051.jpg,1024,1024,237,0,0,7850.75,249.9,441.6,101.3,77.5
51,train/0051.jpg,1024,1024,238,0,0,3203.56,35.3,445.3,56.6,56.6
51,train/0051.jpg,1024,1024,239,1,0,60387.48,41.1,306.8,390.1,154.8
51,train/0051.jpg,1024,1024,240,1,0,2943.09,110.2,274.3,61.7,47.7
51,train/0051.jpg,1024,1024,241,1,0,868.56,156.2,222.5,23.1,37.6
51,train/0051.jpg,1024,1024,242,1,0,8864.1,64.5,147.3,132.3,67.0
51,train/0051.jpg,1024,1024,243,1,0,44730.75,170.7,184.2,245.1,182.5
51,train/0051.jpg,1024,1024,244,1,0,22764.0,125.7,126.6,271.0,84.0
51,train/0051.jpg,1024,1024,245,1,0,27258.0,138.4,78.6,259.6,105.0
52,train/0052.jpg,1024,1024,246,5,0,167008.14,397.9,242.3,268.2,622.7
53,train/0053.jpg,1024,1024,247,7,0,15238.2,447.3,357.6,116.5,130.8
53,train/0053.jpg,1024,1024,248,7,0,39892.71,383.7,196.1,243.1,164.1
53,train/0053.jpg,1024,1024,249,7,0,301057.44,195.4,263.6,512.7,587.2
53,train/0053.jpg,1024,1024,250,7,0,20994.84,176.1,268.2,201.1,104.4
54,train/0054.jpg,1024,1024,251,7,0,56945.68,657.5,291.9,179.3,317.6
54,train/0054.jpg,1024,1024,252,7,0,52849.26,496.8,264.1,171.7,307.8
54,train/0054.jpg,1024,1024,253,1,0,195307.2,100.8,384.7,432.0,452.1
54,train/0054.jpg,1024,1024,254,1,0,18443.11,267.7,571.3,198.1,93.1
54,train/0054.jpg,1024,1024,255,1,0,14937.0,208.8,606.8,229.8,65.0
54,train/0054.jpg,1024,1024,256,1,0,95297.0,194.8,420.6,466.0,204.5
54,train/0054.jpg,1024,1024,257,7,0,12654.51,517.6,228.9,123.7,102.3
54,train/0054.jpg,1024,1024,258,0,0,6345.0,468.3,244.1,141.0,45.0
55,train/0055.jpg,1024,1024,259,7,0,41200.68,891.9,27.8,131.8,312.6
55,train/0055.jpg,1024,1024,260,1,0,15555.6,338.8,853.3,104.4,149.0
55,train/0055.jpg,1024,1024,261,1,0,23632.32,184.9,807.3,191.2,123.6
55,train/0055.jpg,1024,1024,262,7,0,7706.51,259.0,836.4,123.7,62.3
55,train/0055.jpg,1024,1024,263,0,0,27124.4,389.8,851.6,157.7,172.0
55,train/0055.jpg,1024,1024,264,0,0,658.32,530.8,877.7,21.1,31.2
55,train/0055.jpg,1024,1024,265,0,0,246335.52,687.0,160.2,336.8,731.4
55,train/0055.jpg,1024,1024,266,0,0,267185.76,0.0,402.3,559.2,477.8
55,train/0055.jpg,1024,1024,267,0,0,76352.32,33.5,693.5,437.8,174.4
55,train/0055.jpg,1024,1024,268,0,0,64354.02,535.4,720.9,212.6,302.7
55,train/0055.jpg,1024,1024,269,0,0,22704.6,552.6,641.0,237.0,95.8
55,train/0055.jpg,1024,1024,270,0,0,41762.0,446.7,633.2,190.0,219.8
55,train/0055.jpg,1024,1024,271,0,0,123917.84,230.9,383.3,303.2,408.7
55,train/0055.jpg,1024,1024,272,0,0,39814.13,271.7,37.9,174.7,227.9
55,train/0055.jpg,1024,1024,273,0,0,304260.68,262.6,203.5,656.3,463.6
55,train/0055.jpg,1024,1024,274,0,0,96928.0,395.4,214.7,416.0,233.0
56,train/0056.jpg,1024,1024,275,0,0,271383.75,301.2,138.8,637.5,425.7
56,train/0056.jpg,1024,1024,276,1,0,68880.22,14.0,315.6,230.6,298.7
56,train/0056.jpg,1024,1024,277,5,0,8535.2,251.4,442.6,113.5,75.2
56,train/0056.jpg,1024,1024,278,0,0,1495.2,325.1,468.0,35.6,42.0
56,train/0056.jpg,1024,1024,279,5,0,8517.85,930.3,218.1,93.5,91.1
56,train/0056.jpg,1024,1024,280,2,0,58455.78,591.5,346.1,218.2,267.9
56,train/0056.jpg,1024,1024,281,5,0,46374.92,506.9,391.4,167.6,276.7
56,train/0056.jpg,1024,1024,282,1,0,17545.5,631.4,368.1,167.1,105.0
56,train/0056.jpg,1024,1024,283,1,0,51332.4,591.2,347.8,189.0,271.6
56,train/0056.jpg,1024,1024,284,5,0,10603.18,540.4,691.8,74.2,142.9
57,train/0057.jpg,1024,1024,285,1,0,142288.74,249.2,34.5,465.3,305.8
57,train/0057.jpg,1024,1024,286,0,0,311800.6,308.5,442.4,669.1,466.0
58,train/0058.jpg,1024,1024,287,0,0,343533.12,300.2,125.0,523.2,656.6
59,train/0059.jpg,1024,1024,288,3,0,139240.68,283.4,428.4,474.9,293.2
60,train/0060.jpg,1024,1024,289,5,0,82916.97,354.9,488.1,297.3,278.9
61,train/0061.jpg,1024,1024,290,3,0,251336.47,265.4,332.9,535.1,469.7
62,train/0062.jpg,1024,1024,291,7,0,164740.8,308.8,164.3,490.3,336.0
62,train/0062.jpg,1024,1024,292,7,0,98912.58,94.5,337.8,360.6,274.3
62,train/0062.jpg,1024,1024,293,1,0,154521.43,406.3,426.2,490.7,314.9
62,train/0062.jpg,1024,1024,294,7,0,118532.56,0.0,404.8,226.9,522.4
62,train/0062.jpg,1024,1024,295,1,0,202291.28,61.6,538.9,527.9,383.2
62,train/0062.jpg,1024,1024,296,5,0,14162.4,752.4,440.9,140.5,100.8
62,train/0062.jpg,1024,1024,297,1,0,31520.72,609.2,426.9,261.8,120.4
62,train/0062.jpg,1024,1024,298,1,0,25488.36,488.6,379.2,181.8,140.2
62,train/0062.jpg,1024,1024,299,5,0,18135.09,609.2,337.3,131.7,137.7
62,train/0062.jpg,1024,1024,300,1,0,16438.1,500.8,447.7,204.2,80.5
62,train/0062.jpg,1024,1024,301,1,0,9075.0,517.1,476.7,137.5,66.0
62,train/0062.jpg,1024,1024,302,1,0,10641.2,542.8,503.6,148.0,71.9
62,train/0062.jpg,1024,1024,303,1,0,3386.84,601.7,539.7,90.8,37.3
62,train/0062.jpg,1024,1024,304,1,0,2261.49,604.8,558.5,62.3,36.3
62,train/0062.jpg,1024,1024,305,1,0,2932.8,685.4,533.8,104.0,28.2
62,train/0062.jpg,1024,1024,306,1,0,2578.8,653.9,553.9,84.0,30.7
62,train/0062.jpg,1024,1024,307,1,0,6585.3,636.6,573.0,81.3,81.0
62,train/0062.jpg,1024,1024,308,1,0,26857.88,649.1,519.9,198.8,135.1
62,train/0062.jpg,1024,1024,309,1,0,94309.36,453.4,494.7,443.6,212.6
62,train/0062.jpg,1024,1024,310,7,0,45722.88,492.7,698.2,194.4,235.2
62,train/0062.jpg,1024,1024,311,5,0,2713.6,348.1,604.7,64.0,42.4
62,train/0062.jpg,1024,1024,312,0,0,8261.1,394.2,640.5,123.3,67.0
62,train/0062.jpg,1024,1024,313,0,0,2842.1,239.4,655.5,58.6,48.5
62,train/0062.jpg,1024,1024,314,0,0,13715.1,273.3,642.0,217.7,63.0
62,train/0062.jpg,1024,1024,315,0,0,5709.06,321.4,664.1,118.2,48.3
